time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,waist_d,shoulder_d,elbow_d,forearm_roll_d,wrist_angle_d,wrist_rotate_d,gripper
0.77,0,-1.33151751291471e-08,4.60991710550807e-05,0,1.78586718752152e-05,0,0,-1.44091292385592e-07,0.000243264308838053,0,9.42407916330175e-05,0,0.026
0.78,0,-1.47560880736641e-08,4.85318141433821e-05,0,1.88010797915454e-05,0,0,-1.5752933648102e-07,0.00025273248921298,0,9.79088762006182e-05,0,0.026
0.79,0,-1.6331381413881e-08,5.10591390354143e-05,0,1.97801685535516e-05,0,0,-1.72024246126662e-07,0.000262440654163044,0,0.000101669943160301,0,0.026
0.8,0,-1.80516238623696e-08,5.36835455770546e-05,0,2.07968679851546e-05,0,0,-1.8764402457779e-07,0.000272391658123372,0,0.000105525099210469,0,0.026
0.81,0,-1.9928064087793e-08,5.64074621582367e-05,0,2.18521189772593e-05,0,0,-2.04460050534016e-07,0.000282588349276813,0,0.000109475448673697,0,0.026
0.82,0,-2.19726645767082e-08,5.92333456509997e-05,0,2.29468734639962e-05,0,0,-2.22547233978655e-07,0.000293033569528136,0,0.000113522093488452,0,0.026
0.83,0,-2.41981369386579e-08,6.21636813462056e-05,0,2.40820943988808e-05,0,0,-2.41984260371819e-07,0.000303730154718261,0,0.000117666133293848,0,0.026
0.84,0,-2.66179795427313e-08,6.52009828933653e-05,0,2.52587557318192e-05,0,0,-2.62853412330852e-07,0.000314680934307589,0,0.00012190866530876,0,0.026
0.85,0,-2.92465136553233e-08,6.83477922364673e-05,0,2.64778423849068e-05,0,0,-2.8524110162955e-07,0.00032588873177664,0,0.000126250784488877,0,0.026
0.86,0,-3.20989246849201e-08,7.1606679554248e-05,0,2.77403502297956e-05,0,0,-3.09237645473813e-07,0.000337356364312332,0,0.000130693583407041,0,0.026
0.87,0,-3.51913011509275e-08,7.49802431973534e-05,0,2.9047286063866e-05,0,0,-3.34937664246552e-07,0.000349086643065654,0,0.000135238152355001,0,0.026
0.88,0,-3.85406778158348e-08,7.84711096279422e-05,0,3.0399667587416e-05,0,0,-3.62440056711093e-07,0.000361082373055841,0,0.000139885579308251,0,0.026
